DIS-ID-NAME,DIS-ID,RADIO-ID,FREQUENCY-NAME,FREQUENCY,PTT-ON,PTT-OFF,PTT-DURATION,DAC-SAMPLES,VAD,FILENAME,TRUNCATED?,CONTENT?
"3","13000:3:3",1,"",240800000,00:06:59.229,00:07:01.279,2.051,2.048,0.992,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_419.229s.au"),0,1
"3","13000:3:3",1,"",240800000,00:07:04.002,00:07:05.265,1.263,1.264,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_424.002s.au"),0,1
"2","13000:2:2",1,"",240800000,00:07:05.691,00:07:18.157,12.465,12.464,0.750,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_425.692s.au"),0,1
"3","13000:3:3",1,"",240800000,00:07:19.727,00:07:20.795,1.067,1.072,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_439.728s.au"),0,1
"3","13000:3:3",1,"",240800000,00:07:21.424,00:07:28.367,6.943,6.944,0.986,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_441.424s.au"),0,1
"3","13000:3:3",1,"",240800000,00:07:31.970,00:07:34.446,2.477,2.480,0.955,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_451.970s.au"),0,1
"3","13000:3:3",1,"",240800000,00:07:37.454,00:07:38.410,0.956,0.960,0.733,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_457.454s.au"),0,1
"2","13000:2:2",1,"",240800000,00:07:39.661,00:07:40.555,0.894,0.896,0.893,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_459.662s.au"),0,1
"3","13000:3:3",1,"",240800000,00:07:41.710,00:07:43.071,1.361,1.360,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_461.711s.au"),0,1
"3","13000:3:3",1,"",240800000,00:07:43.458,00:07:44.942,1.485,1.488,0.882,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_463.458s.au"),0,1
"3","13000:3:3",1,"",240800000,00:07:45.916,00:07:46.252,0.336,0.336,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_465.917s.au"),0,1
"2","13000:2:2",1,"",240800000,00:07:44.141,00:07:46.733,2.591,2.592,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_464.142s.au"),0,1
"3","13000:3:3",1,"",240800000,00:07:58.403,00:08:00.027,1.624,1.632,0.608,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_478.403s.au"),0,1
"3","13000:3:3",1,"",240800000,00:08:04.609,00:08:08.415,3.806,3.808,0.714,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_484.609s.au"),0,1
"3","13000:3:3",1,"",240800000,00:08:16.962,00:08:17.855,0.894,0.896,0.911,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_496.962s.au"),0,1
"2","13000:2:2",1,"",240800000,00:08:19.575,00:08:21.049,1.473,1.472,0.848,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_499.576s.au"),0,1
"3","13000:3:3",1,"",240800000,00:08:22.539,00:08:25.434,2.896,2.896,0.851,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_502.539s.au"),0,1
"2","13000:2:2",1,"",240800000,00:08:28.221,00:08:30.639,2.418,2.416,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_508.221s.au"),0,1
"2","13000:2:2",1,"",240800000,00:08:34.590,00:08:39.434,4.845,4.848,0.762,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_514.590s.au"),0,1
"3","13000:3:3",1,"",240800000,00:08:38.427,00:08:41.231,2.805,2.800,0.863,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_518.427s.au"),0,1
"2","13000:2:2",1,"",240800000,00:08:42.757,00:08:43.112,0.356,0.352,0.227,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_522.757s.au"),0,1
"3","13000:3:3",1,"",240800000,00:08:43.679,00:08:46.796,3.118,3.120,0.667,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_523.679s.au"),0,1
"3","13000:3:3",1,"",240800000,00:08:48.096,00:08:49.528,1.432,1.440,0.933,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_528.097s.au"),0,1
"2","13000:2:2",1,"",240800000,00:08:48.374,00:08:57.111,8.738,8.736,0.967,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_528.374s.au"),0,1
"2","13000:2:2",1,"",240800000,00:08:57.476,00:08:57.700,0.224,0.224,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_537.477s.au"),0,1
"3","13000:3:3",1,"",240800000,00:09:01.679,00:09:02.432,0.752,0.752,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_541.680s.au"),0,1
"2","13000:2:2",1,"",240800000,00:08:59.802,00:09:05.867,6.065,6.064,0.939,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_539.803s.au"),0,1
"3","13000:3:3",1,"",240800000,00:09:05.854,00:09:07.064,1.209,1.216,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_545.855s.au"),0,1
"3","13000:3:3",1,"",240800000,00:09:07.500,00:09:08.192,0.692,0.688,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_547.500s.au"),0,1
"2","13000:2:2",1,"",240800000,00:09:09.382,00:09:09.932,0.550,0.544,0.324,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_549.383s.au"),0,1
"3","13000:3:3",1,"",240800000,00:09:09.531,00:09:10.315,0.783,0.784,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_549.532s.au"),0,1
"2","13000:2:2",1,"",240800000,00:09:14.218,00:09:15.783,1.565,1.568,0.867,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_554.218s.au"),0,1
"3","13000:3:3",1,"",240800000,00:09:17.273,00:09:21.135,3.861,3.856,0.929,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_557.274s.au"),0,1
"3","13000:3:3",1,"",240800000,00:09:21.327,00:09:21.976,0.650,0.656,0.878,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_561.327s.au"),0,1
"2","13000:2:2",1,"",240800000,00:09:22.203,00:09:29.703,7.499,7.504,0.851,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_562.204s.au"),0,1
"3","13000:3:3",1,"",240800000,00:09:30.062,00:09:32.622,2.560,2.560,0.875,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_570.063s.au"),0,1
"2","13000:2:2",1,"",240800000,00:09:36.780,00:09:37.757,0.978,0.976,0.754,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_576.780s.au"),0,1
"2","13000:2:2",1,"",240800000,00:09:43.158,00:09:44.775,1.616,1.616,0.871,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_583.159s.au"),0,1
"2","13000:2:2",1,"",240800000,00:09:47.435,00:09:48.411,0.975,0.976,0.689,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_587.436s.au"),0,1
"3","13000:3:3",1,"",240800000,00:09:54.575,00:09:55.937,1.362,1.360,0.871,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_594.576s.au"),0,1
"2","13000:2:2",1,"",240800000,00:09:59.403,00:10:01.739,2.336,2.336,0.884,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_599.404s.au"),0,1
"2","13000:2:2",1,"",240800000,00:10:08.007,00:10:13.187,5.181,5.184,0.975,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_608.007s.au"),0,1
"2","13000:2:2",1,"",240800000,00:10:20.005,00:10:21.924,1.919,1.920,0.833,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_620.005s.au"),0,1
"3","13000:3:3",1,"",240800000,00:10:27.062,00:10:27.450,0.388,0.384,0.917,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_627.062s.au"),0,1
"3","13000:3:3",1,"",240800000,00:10:29.307,00:10:31.431,2.123,2.128,0.624,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_629.308s.au"),0,1
"3","13000:3:3",1,"",240800000,00:10:32.366,00:10:36.825,4.460,4.464,0.975,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_632.366s.au"),0,1
"3","13000:3:3",1,"",240800000,00:10:44.190,00:10:44.911,0.721,0.720,0.822,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_644.190s.au"),0,1
"3","13000:3:3",1,"",240800000,00:10:47.247,00:10:54.125,6.877,6.880,0.786,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_647.248s.au"),0,1
"2","13000:2:2",1,"",240800000,00:10:53.335,00:10:57.257,3.922,3.920,0.984,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_653.335s.au"),0,1
"2","13000:2:2",1,"",240800000,00:10:57.864,00:10:58.932,1.067,1.072,0.985,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_657.865s.au"),0,1
"3","13000:3:3",1,"",240800000,00:10:59.193,00:11:00.229,1.036,1.040,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_659.194s.au"),0,1
"3","13000:3:3",1,"",240800000,00:11:02.830,00:11:04.731,1.900,1.904,0.782,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_662.831s.au"),0,1
"2","13000:2:2",1,"",240800000,00:11:04.875,00:11:06.713,1.839,1.840,0.930,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_664.875s.au"),0,1
"3","13000:3:3",1,"",240800000,00:11:10.929,00:11:11.710,0.781,0.784,0.980,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_670.929s.au"),0,1
